Inf_UN Inf_GT Sus_UN Sus_GT F_GT G_GT
0.6810 0.6922 0.9210 0.9050 0.7913 2.2215
0.3690 0.3755 0.0570 0.0561 2.7808 0.6130
0.0930 0.0946 0.7220 0.7097 0.9048 7.1673
0.0690 0.0702 0.8790 0.8641 1.0916 10.5322
0.4680 0.4761 0.9760 0.9585 1.3474 1.1195
0.5070 0.5159 0.9630 0.9464 4.3374 8.1768
0.8460 0.8606 0.5620 0.5523 2.7901 1.3893
0.4330 0.4406 0.1490 0.1464 2.7136 0.8727
0.0680 0.0691 0.8900 0.8744 0.0749 1.6064
0.9720 0.9883 0.9860 0.9686 1.2247 1.5263
0.8490 0.8640 0.1510 0.1484 3.6549 0.8649
0.1070 0.1089 0.7230 0.7105 0.5878 3.4487
0.5230 0.5322 0.4220 0.4147 3.4267 2.0699
0.6240 0.6344 0.1910 0.1876 0.6689 0.2095
0.4770 0.4853 0.2340 0.2300 1.8541 1.0680
0.3440 0.3501 0.7990 0.7854 2.1349 4.7892
0.5850 0.5953 0.7120 0.6999 3.7803 5.7565
0.0710 0.0722 0.2700 0.2654 0.1919 0.7781
0.4500 0.4582 0.9700 0.9535 5.9265 11.4392
0.0530 0.0539 0.9920 0.9751 0.4457 9.9250
0.4040 0.4112 0.0550 0.0541 3.6364 0.3590
0.7170 0.7296 0.7380 0.7254 5.6184 4.4885
0.9720 0.9890 0.0360 0.0355 6.5600 0.1815
0.5310 0.5397 0.3920 0.3836 0.4837 0.0980
0.5500 0.5595 0.8590 0.8444 4.3928 5.7759
0.8500 0.8649 0.6740 0.6621 3.1493 1.0353
0.4280 0.4356 0.9800 0.9631 2.3617 4.3051
0.9320 0.9479 0.8090 0.7946 1.6590 1.1221
0.2810 0.2856 0.8860 0.8671 0.2560 0.2215
0.5490 0.5580 0.5660 0.5539 0.5001 0.1415
0.0660 0.0672 0.9420 0.9261 0.5842 7.3429
0.3370 0.3428 0.9160 0.8996 0.5106 1.0910
0.2040 0.2076 0.0010 0.0010 0.6646 0.0025
0.1990 0.2025 0.2180 0.2145 0.7188 0.7307
0.5770 0.5872 0.7950 0.7813 2.1009 2.7920
0.7940 0.8082 0.5930 0.5828 9.0349 3.5817
0.2370 0.2412 0.0100 0.0098 2.0553 0.0964
0.1090 0.1108 0.5320 0.5219 0.0859 0.2910
0.6290 0.6400 0.4150 0.4079 4.7351 2.9834
0.4830 0.4915 0.8960 0.8808 7.0523 11.2538
0.1530 0.1557 0.0710 0.0698 0.5462 0.3991
0.0130 0.0132 0.8400 0.8254 0.0567 2.5704
0.2870 0.2921 0.0270 0.0265 2.7417 0.2034
0.5560 0.5659 0.8110 0.7971 3.0085 4.0996
0.6640 0.6757 0.8170 0.8027 3.0909 2.2860
0.4700 0.4783 0.5690 0.5591 1.9331 2.0000
0.4230 0.4304 0.5370 0.5275 1.5499 0.9403
0.9440 0.9606 0.8570 0.8424 5.8660 6.4198
0.0280 0.0285 0.4140 0.4070 0.1705 2.8011
0.1020 0.1048 0.6890 0.6766 0.1535 0.6111
0.8530 0.8677 0.7270 0.7144 2.7040 2.7895
0.1290 0.1311 0.4620 0.4524 0.1285 0.1331
0.1530 0.1557 0.4900 0.4816 0.6782 1.9487
0.4630 0.4711 0.7020 0.6900 2.6363 5.2425
0.3800 0.3863 0.2770 0.2713 0.3785 0.0798
0.0180 0.0183 0.4370 0.4293 0.0626 0.6253
0.7680 0.7817 0.0950 0.0934 4.5988 0.3897
0.4620 0.4701 0.7700 0.7563 1.6105 1.2305
0.7070 0.7194 0.9060 0.8906 3.6835 5.1968
0.9230 0.9387 0.2160 0.2121 1.5986 0.2264
0.3210 0.3265 0.8140 0.7975 0.5784 0.2702
0.3970 0.4036 0.2690 0.2635 0.3819 0.0858
0.5700 0.5800 0.3480 0.3420 2.2087 1.1581
0.1580 0.1608 0.3200 0.3145 0.7336 1.2678
0.2260 0.2299 0.5830 0.5729 0.5887 1.6715
0.2020 0.2049 0.1140 0.1120 0.0663 0.1321
0.8090 0.8223 0.3650 0.3586 1.0040 0.6110
0.7710 0.7846 0.3310 0.3254 10.1672 3.5596
0.8480 0.8625 0.5550 0.5450 2.8781 0.8314
0.1670 0.1699 0.1090 0.1070 0.4269 0.0679
0.5400 0.5497 0.1200 0.1189 0.9439 0.1288
0.6700 0.6811 0.7410 0.7272 0.6794 0.4839
0.0250 0.0254 0.8970 0.8806 0.0351 0.8234
0.5230 0.5324 0.6040 0.5938 2.0449 2.4426
0.3130 0.3184 0.8470 0.8320 0.5205 1.3696
0.1020 0.1038 0.9370 0.9205 0.2858 1.6004
0.0270 0.0275 0.0800 0.0786 0.0643 0.2351
0.4150 0.4223 0.8970 0.8817 3.3748 7.4218
0.9570 0.9738 0.4240 0.4168 9.9183 4.3405
0.9900 1.0062 0.2920 0.2868 0.8851 0.2970
0.2380 0.2422 0.0770 0.0757 2.1687 0.7036
0.3660 0.3724 0.5050 0.4963 1.4753 1.6670
0.6510 0.6620 0.7030 0.6903 0.9283 0.6538
0.9210 0.9366 0.5910 0.5806 1.6467 0.9899
0.9230 0.9393 0.0800 0.0787 9.3315 0.6837
0.8100 0.8223 0.7680 0.7488 0.3556 0.0975
0.2880 0.2930 0.1510 0.1483 0.8234 0.2129
0.1140 0.1160 0.8530 0.8385 1.7526 10.2821
0.5190 0.5281 0.5980 0.5877 1.4880 1.6720
0.1540 0.1567 0.0090 0.0088 1.8733 0.1154
0.8380 0.8527 0.4040 0.3970 4.5235 1.9731
0.1280 0.1302 0.5590 0.5493 0.2767 1.4310
0.1290 0.1312 0.1640 0.1612 0.3891 0.3841
0.6200 0.6309 0.7780 0.7647 3.3926 4.5972
0.4910 0.4995 0.5170 0.5081 1.6080 1.3256
0.0030 0.0031 0.4790 0.4709 0.0050 0.6313
0.7550 0.7684 0.0220 0.0216 3.7493 0.0561
0.4100 0.4172 0.8930 0.8776 2.2599 5.2232
0.9340 0.9504 0.5540 0.5443 3.3773 1.0814
0.4990 0.5079 0.7620 0.7491 8.1586 13.7739
0.8480 0.8626 0.4490 0.4413 4.3867 2.5180
0.7890 0.8029 0.5670 0.5570 2.3938 0.7439
0.0410 0.0417 0.7980 0.7843 0.1163 2.2583
0.4760 0.4843 0.3160 0.3106 3.4015 3.6738
0.5030 0.5118 0.9760 0.9593 2.5447 5.7516
0.9930 1.0095 0.5410 0.5314 1.0526 0.6865
0.0560 0.0570 0.9200 0.9044 0.4063 8.2993
0.2530 0.2574 0.7920 0.7782 0.8309 2.3293
0.8230 0.8375 0.2030 0.1996 11.3994 2.4474
0.2680 0.2726 0.3340 0.3282 0.7394 0.9596
0.8560 0.8693 0.0980 0.0962 0.4537 0.0663
0.7720 0.7849 0.0030 0.0029 1.3008 0.0045
0.3240 0.3282 0.7920 0.7769 0.0784 0.4332
0.2390 0.2433 0.1400 0.1377 4.6031 2.6400
0.7290 0.7408 0.1260 0.1238 0.5526 0.1486
0.5880 0.5977 0.5720 0.5617 0.5562 0.6584
0.1850 0.1882 0.0620 0.0609 0.5520 0.1865
0.9770 0.9930 0.2310 0.2268 1.3502 0.2790
0.4740 0.4745 0.9570 0.9386 0.0308 0.4852
0.3570 0.3634 0.4950 0.4866 2.5104 3.8328
0.8290 0.8436 0.1040 0.1022 9.9795 1.1086
0.9050 0.9210 0.7630 0.7499 4.9594 3.6220
0.5220 0.5316 0.5580 0.5485 0.9991 0.7974
0.1910 0.1944 0.2660 0.2614 2.9244 3.5708
0.9750 0.9916 0.1050 0.1031 1.8340 0.0965
0.0660 0.0672 0.7770 0.7638 0.8190 7.6869
0.8280 0.8426 0.5970 0.5869 9.6893 6.7377
0.6240 0.6350 0.1080 0.1062 4.0204 0.7780
0.2380 0.2424 0.4660 0.4584 1.1833 2.0718
0.4480 0.4559 0.0540 0.0531 3.7713 0.5458
0.9810 0.9979 0.0220 0.0216 2.6850 0.0715
0.5380 0.5474 0.6290 0.6181 1.9535 1.5819
0.3640 0.3702 0.7050 0.6921 0.6221 0.7106
0.6820 0.6944 0.5850 0.5754 8.5802 5.6376
0.4830 0.4915 0.2520 0.2477 3.1265 1.7605
0.4350 0.4427 0.0310 0.0305 1.3072 0.1260
0.7590 0.7722 0.7460 0.7333 1.6599 2.7415
0.5180 0.5271 0.0920 0.0905 2.1124 0.3313
0.5580 0.5677 0.5400 0.5309 2.9501 3.2978
0.5580 0.5675 0.0150 0.0147 1.0390 0.0268
0.0350 0.0356 0.5480 0.5383 0.0193 0.9776
0.9580 0.9739 0.2890 0.2839 1.2032 0.5971
0.4010 0.4081 0.5740 0.5641 2.4509 2.8482
0.2100 0.2137 0.9090 0.8929 0.4815 2.1625
0.3500 0.3560 0.1930 0.1896 0.4784 0.2781
0.2930 0.2982 0.9810 0.9642 0.8626 4.9992
0.1260 0.1282 0.9430 0.9265 0.3328 2.3302
0.0940 0.0958 0.4600 0.4522 0.8119 3.4436
0.3850 0.3916 0.2610 0.2563 0.5798 0.2740
0.4890 0.4976 0.9120 0.8964 1.8435 4.2618
0.2950 0.2999 0.3900 0.3826 0.2564 0.1899
0.3090 0.3119 0.0080 0.0078 0.0519 0.0016
0.8660 0.8809 0.0730 0.0718 1.9494 0.1562
0.6860 0.6923 0.9050 0.8837 0.1152 0.1765
0.9960 1.0052 0.2870 0.2803 0.1673 0.0560
0.2190 0.2226 0.2420 0.2370 0.3219 0.1053
0.7110 0.7228 0.0120 0.0118 1.3601 0.0386
0.4090 0.4160 0.5150 0.5064 0.7677 1.8504
0.6820 0.6933 0.5510 0.5415 1.3681 1.7638
0.6630 0.6741 0.2480 0.2436 1.3326 0.4285
0.2740 0.2786 0.1550 0.1523 0.5209 0.2691
0.5210 0.5283 0.7730 0.7591 0.2183 0.8851
0.7740 0.7863 0.6500 0.6386 0.9342 1.3045
0.6050 0.6135 0.2060 0.2023 0.2257 0.1969
0.3520 0.3581 0.2020 0.1985 1.4858 0.9934
0.6500 0.6605 0.1840 0.1807 0.5330 0.2964
0.7090 0.7208 0.9640 0.9442 0.7863 0.2950
0.9180 0.9341 0.0650 0.0639 3.9171 0.1664
0.4500 0.4578 0.0380 0.0373 2.1371 0.1465
0.3450 0.3513 0.5780 0.5680 1.4117 1.8548
0.8200 0.8317 0.5150 0.5005 0.3313 0.0515
0.9510 0.9676 0.4300 0.4231 2.0542 0.9843
0.6220 0.6314 0.2470 0.2424 0.3035 0.1378
0.7010 0.7132 0.8910 0.8756 2.6722 3.2869
0.1510 0.1535 0.9620 0.9450 0.1585 1.3497
0.9210 0.9371 0.1800 0.1769 2.7280 0.2740
0.1410 0.1435 0.7810 0.7677 0.6844 4.2104
0.9220 0.9382 0.4210 0.4138 5.7459 2.1214
0.7010 0.7133 0.4620 0.4540 2.8895 1.4008
0.5380 0.5468 0.7560 0.7420 0.4772 0.5163
0.2630 0.2676 0.2890 0.2840 0.7664 0.6153
0.1060 0.1078 0.0910 0.0894 0.2631 0.1722
0.0920 0.0936 0.7170 0.7047 0.3978 2.4966
0.5960 0.6064 0.1570 0.1543 2.9776 0.7994
0.1500 0.1526 0.1410 0.1386 0.9699 0.9547
0.3320 0.3378 0.3620 0.3558 1.5730 2.0279
0.9690 0.9855 0.2360 0.2320 1.6706 0.5185
0.2390 0.2430 0.2930 0.2878 0.3031 0.4008
0.0070 0.0071 0.5360 0.5262 0.0085 0.4390
0.3090 0.3144 0.7110 0.6988 2.3592 5.9902
0.2900 0.2948 0.6790 0.6652 0.2450 0.2091
0.5250 0.5341 0.3920 0.3852 1.7215 1.1756
0.9730 0.9901 0.2770 0.2723 5.8419 1.3263
0.1490 0.1518 0.3030 0.2980 0.7371 1.3911
0.0510 0.0519 0.1500 0.1474 0.1907 0.5931
0.9310 0.9475 0.8790 0.8640 9.8090 8.9016
0.3500 0.3563 0.9040 0.8886 2.0549 5.0669
0.4610 0.4691 0.4630 0.4552 2.7817 3.0169
0.6310 0.6421 0.5330 0.5239 3.3323 3.1276
0.5830 0.5934 0.9510 0.9343 1.2465 1.3751
0.0110 0.0112 0.2360 0.2318 0.0150 0.1602
0.6410 0.6519 0.2480 0.2437 1.1173 0.4375
0.4620 0.4691 0.4100 0.4025 0.2199 0.2788
0.0730 0.0742 0.4290 0.4217 0.2102 1.4350
0.9150 0.9311 0.4320 0.4246 3.3937 1.3077
0.5000 0.5068 0.4060 0.3980 0.1285 0.1425
0.0650 0.0663 0.0300 0.0295 0.1765 0.1234
0.9490 0.9653 0.7950 0.7809 2.1068 1.0057
0.9660 0.9823 0.2980 0.2926 1.5688 0.2158
0.6150 0.6250 0.0310 0.0304 0.4895 0.0175
0.7570 0.7703 0.7260 0.7137 2.6071 2.5708
0.1580 0.1607 0.6580 0.6464 0.4279 0.9784
0.5080 0.5170 0.7440 0.7313 3.3523 4.8293
0.6430 0.6540 0.1730 0.1700 1.4783 0.4564
0.5060 0.5143 0.5640 0.5537 0.4524 0.4518
0.5210 0.5302 0.5680 0.5582 1.2639 1.3195
0.9460 0.9615 0.8010 0.7866 1.1220 0.9332
0.6170 0.6273 0.4600 0.4518 0.9422 0.6067
0.0510 0.0519 0.4340 0.4262 0.0568 0.4574
0.9510 0.9668 0.4430 0.4351 0.9738 0.4177
0.5430 0.5485 0.8970 0.8804 0.0776 0.6539
0.6320 0.6424 0.6260 0.6149 0.5511 0.6673
0.2910 0.2962 0.8000 0.7865 2.7924 8.3632
0.2170 0.2208 0.6570 0.6455 0.6655 1.3271
0.0440 0.0448 0.5790 0.5691 0.1432 1.2975
0.2610 0.2652 0.9920 0.9731 0.1767 0.5029
0.7930 0.8069 0.6190 0.6085 5.1426 4.2816
0.8510 0.8658 0.2080 0.2044 4.3231 0.8006
0.9750 0.9915 0.7620 0.7490 2.0075 1.8829
0.3950 0.4019 0.1730 0.1702 2.3416 0.8429
0.9690 0.9859 0.7150 0.7028 5.4157 5.1001
0.8930 0.9085 0.8310 0.8168 2.4602 3.3689
0.4830 0.4914 0.6270 0.6164 1.1969 1.8409
0.3970 0.4041 0.3890 0.3825 4.4746 3.6889
0.3500 0.3563 0.0600 0.0590 1.6527 0.3442
0.2520 0.2563 0.7130 0.7006 0.6902 2.2424
0.5160 0.5248 0.4950 0.4864 1.7425 2.0444
0.1680 0.1709 0.1740 0.1710 0.4459 0.4313
0.9650 0.9813 0.8530 0.8378 1.4427 1.2061
0.5550 0.5645 0.8700 0.8549 1.3919 2.4108
0.1350 0.1374 0.1440 0.1415 0.6319 0.6854
0.5280 0.5373 0.3740 0.3677 3.3306 2.1512
0.8070 0.8211 0.7440 0.7312 4.5192 3.0958
0.3810 0.3874 0.8140 0.7992 0.6146 0.9158
0.9180 0.9341 0.0050 0.0049 6.0579 0.0348
0.7370 0.7500 0.4570 0.4493 2.5832 1.7828
0.6350 0.6461 0.3800 0.3735 5.0298 2.7022
0.0360 0.0366 0.7800 0.7665 0.0764 2.1021
0.9410 0.9566 0.9190 0.9024 0.9730 0.8795
0.4580 0.4668 0.8490 0.8339 0.7388 0.8999
0.5840 0.5939 0.9320 0.9155 1.3111 1.9497
0.9040 0.9185 0.9180 0.9015 0.9284 1.3247
0.8780 0.8918 0.3330 0.3267 0.6752 0.2131
0.3150 0.3205 0.0860 0.0845 1.0266 0.1630
0.9750 0.9918 0.7990 0.7850 2.4092 1.5972
0.0620 0.0630 0.0090 0.0088 0.0885 0.0159
0.5920 0.6021 0.3620 0.3558 1.1698 1.2065
0.5370 0.5455 0.7970 0.7820 0.3211 0.4192
0.2380 0.2421 0.8120 0.7980 0.6140 1.7174
0.1780 0.1812 0.7960 0.7825 2.3124 6.9332
0.8260 0.8405 0.1450 0.1425 6.2404 1.4958
0.6960 0.7083 0.2050 0.2015 8.9645 2.2843
0.2440 0.2481 0.8500 0.8352 0.2564 1.4569
0.2880 0.2929 0.1870 0.1838 0.5049 0.6936
0.8500 0.8649 0.3080 0.3028 5.4757 1.9697
0.1160 0.1181 0.4170 0.4099 1.0013 3.5983
0.4130 0.4204 0.1320 0.1299 1.0804 0.5648
0.5440 0.5528 0.4410 0.4332 0.4804 0.7135
0.4180 0.4248 0.2620 0.2574 0.3691 0.4239
0.0310 0.0315 0.8830 0.8675 0.0249 1.7545
0.8610 0.8755 0.1900 0.1866 1.2261 0.1469
0.4830 0.4914 0.0600 0.0590 1.4374 0.1517
0.3890 0.3957 0.0750 0.0737 1.0585 0.2043
0.9010 0.9159 0.0920 0.0903 0.9370 0.0706
0.8840 0.8988 0.4510 0.4423 1.2668 0.1894
0.2360 0.2399 0.0380 0.0337 0.2145 0.0003
0.6880 0.6998 0.3040 0.2988 1.9732 0.8172
0.3560 0.3622 0.8400 0.8253 1.2254 1.7287
0.2960 0.3012 0.3720 0.3657 1.6461 2.1312
0.0800 0.0814 0.2710 0.2664 0.3822 1.2382
0.1490 0.1516 0.0200 0.0197 0.6584 0.0778
0.8910 0.9065 0.8520 0.8372 3.4660 2.6259
0.0070 0.0071 0.0130 0.0128 0.0187 0.0221
0.7540 0.7674 0.1150 0.1131 4.1176 0.4660
0.7530 0.7658 0.1430 0.1405 1.1370 0.2901
0.7510 0.7640 0.6600 0.6486 2.2575 2.5067
0.4380 0.4450 0.3180 0.3122 0.2768 0.2782
0.5190 0.5279 0.9150 0.8992 1.1672 3.4139
0.5870 0.5972 0.7990 0.7851 1.1898 1.9152
0.1400 0.1425 0.8900 0.8744 0.4166 1.6661
0.6480 0.6592 0.2900 0.2849 1.8520 0.8259
0.8910 0.9067 0.5610 0.5515 9.8072 5.6296
0.1430 0.1456 0.8290 0.8154 1.1246 6.8044
0.2860 0.2903 0.1720 0.1689 0.1453 0.0986
0.4760 0.4832 0.2630 0.2583 0.2418 0.1507
0.8970 0.9023 0.6650 0.6519 0.0942 0.2567
0.8490 0.8638 0.5250 0.5161 3.3230 2.0716
0.3600 0.3660 0.8710 0.8545 0.4547 0.4782
0.2570 0.2610 0.2950 0.2842 0.1288 0.0147
0.4520 0.4597 0.1030 0.1016 0.5049 0.1123
0.1860 0.1894 0.8920 0.8768 0.9812 6.1905
0.1800 0.1830 0.0620 0.0610 0.1609 0.0678
0.9360 0.9519 0.0860 0.0845 1.6492 0.3267
0.0880 0.0898 0.7190 0.7064 0.1067 0.8082
0.4090 0.4162 0.0200 0.0197 2.5137 0.1132
0.5860 0.5965 0.0560 0.0550 2.7214 0.1757
0.4670 0.4756 0.7400 0.7275 1.2016 1.3364
0.6840 0.6961 0.5600 0.5503 2.9980 1.8850
0.8160 0.8299 0.0280 0.0275 1.4590 0.0465
0.6860 0.6971 0.0260 0.0255 0.6160 0.0398
0.8740 0.8893 0.2590 0.2546 7.3617 2.9099
0.1430 0.1452 0.0760 0.0745 0.0798 0.0236
0.6370 0.6477 0.9980 0.9804 0.7357 1.6367
0.9120 0.9268 0.0970 0.0953 0.9065 0.1277
0.0510 0.0518 0.4720 0.4635 0.0457 0.4366
0.0790 0.0804 0.5680 0.5583 0.6228 4.1759
0.3970 0.4038 0.7900 0.7762 0.7071 1.7009
0.0820 0.0834 0.8870 0.8710 0.0733 0.8746
0.5940 0.6045 0.4930 0.4846 2.0606 1.7220
0.0930 0.0946 0.8450 0.8305 0.6103 3.0082
0.6870 0.6960 0.1840 0.1803 0.1711 0.0620
0.2560 0.2605 0.0580 0.0570 1.5675 0.3261
0.1820 0.1851 0.4680 0.4598 0.2996 0.7123
0.6410 0.6522 0.4430 0.4354 5.1421 2.8210
0.6000 0.6099 0.5340 0.5242 0.5334 0.3572
0.4740 0.4820 0.3720 0.3655 0.7830 0.7790
0.5070 0.5113 0.1710 0.1675 0.0588 0.0515
0.0610 0.0621 0.1940 0.1907 0.1717 0.6720
0.3560 0.3622 0.5160 0.5073 1.2791 2.2322
0.1660 0.1688 0.5980 0.5876 0.2037 1.0878
0.8650 0.8802 0.3280 0.3223 3.5768 0.7974
0.7500 0.7625 0.6360 0.6246 0.8415 0.6843
0.5630 0.5716 0.6270 0.6152 0.2691 0.3649
0.2480 0.2522 0.7030 0.6908 0.3430 1.6900
0.2500 0.2545 0.0240 0.0236 0.4585 0.0158
0.8100 0.8225 0.9560 0.9386 0.4212 0.8728
0.5280 0.5366 0.9570 0.9399 0.4800 1.2537
0.2450 0.2497 0.5300 0.5211 0.5253 1.3149
0.0440 0.0447 0.9320 0.9125 0.0298 0.2712
0.5350 0.5436 0.1910 0.1870 0.3627 0.0556
0.6460 0.6559 0.7090 0.6963 0.3282 0.6466
0.5830 0.5933 0.3010 0.2958 2.0079 0.6285
0.8770 0.8914 0.6660 0.6538 0.7507 0.4496
0.0150 0.0153 0.4500 0.4424 0.0769 2.2252
0.5030 0.5118 0.3400 0.3342 1.7716 2.0063
0.8980 0.9137 0.6660 0.6543 2.3115 1.1415
0.8010 0.8149 0.8860 0.8708 2.3766 2.2363
0.0600 0.0611 0.6410 0.6298 0.1723 1.1679
0.4190 0.4261 0.3250 0.3192 0.6499 0.3731
0.4380 0.4455 0.3200 0.3142 0.7258 0.2675
0.5310 0.5397 0.3450 0.3383 0.6107 0.1811
0.3890 0.3957 0.2300 0.2262 1.2199 1.1341
0.6680 0.6796 0.0940 0.0924 1.6894 0.3015
0.8190 0.8329 0.2470 0.2428 1.0581 0.5147
0.7100 0.7225 0.9860 0.9688 2.6469 2.2865
0.6800 0.6915 0.2390 0.2346 1.0581 0.1802
0.4590 0.4670 0.3410 0.3351 1.1186 0.4242
0.7560 0.7692 0.3360 0.3302 3.9025 0.9290
0.9140 0.9264 0.2430 0.2387 0.2696 0.2743
0.9820 0.9992 0.8760 0.8610 4.3532 3.5942
0.3660 0.3724 0.8130 0.7991 0.7496 2.3544
0.9400 0.9552 0.4940 0.4840 0.7717 0.1625
0.9960 1.0131 0.1660 0.1631 2.2211 0.3093
0.8730 0.8877 0.9740 0.9557 0.9053 0.7061
0.1780 0.1810 0.5010 0.4919 0.3482 0.4880
0.5950 0.6046 0.3850 0.3757 0.4445 0.0547
0.8530 0.8674 0.4510 0.4432 1.7256 1.2371
0.0540 0.0549 0.3740 0.3469 0.0478 0.0067
0.9100 0.9259 0.0890 0.0875 4.7484 0.5322
0.3100 0.3157 0.1390 0.1367 1.0152 0.7054
0.3320 0.3376 0.6930 0.6807 0.3606 0.8593
0.8870 0.9031 0.7650 0.7523 7.0064 4.2458
0.7660 0.7786 0.9480 0.9322 0.7139 2.7312
0.8720 0.8867 0.2040 0.2006 1.8399 0.4933
0.7230 0.7350 0.8320 0.8171 1.0700 0.8436
0.6810 0.6929 0.1640 0.1612 3.4425 0.7534
0.5160 0.5231 0.2160 0.2122 0.1563 0.3100
0.7340 0.7457 0.9150 0.8984 0.7223 1.1071
0.9910 0.8800 0.1700 0.1665 0.0079 0.0437
0.1550 0.1577 0.3090 0.3038 0.3002 0.5537
0.4820 0.4900 0.3480 0.3308 0.4290 0.0111
0.2190 0.2228 0.3450 0.3390 0.6522 1.1820
0.2020 0.2055 0.7580 0.7452 0.7512 3.4027
0.3300 0.3358 0.1190 0.1170 2.3202 0.6735
0.5420 0.5515 0.2550 0.2507 1.7165 1.5976
0.2150 0.2188 0.3350 0.3294 0.1647 0.3742
0.5150 0.5238 0.9110 0.8951 0.9476 1.9076
0.0990 0.1006 0.9460 0.9280 0.0689 0.4910
0.7020 0.7145 0.6310 0.6203 2.6515 2.7196
0.7980 0.8116 0.2100 0.2064 1.1547 0.4528
0.2450 0.2493 0.3670 0.3607 0.8134 1.3355
0.9130 0.9246 0.7480 0.7182 0.2794 0.0411
0.9260 0.9378 0.2880 0.2765 0.2834 0.0158
0.7640 0.7737 0.5740 0.5511 0.2338 0.0316
0.6810 0.6928 0.5140 0.5052 2.3161 2.6635
0.1010 0.1028 0.8710 0.8561 0.3598 4.0397
0.3820 0.3886 0.1330 0.1308 0.7067 0.4378
0.9210 0.9362 0.5250 0.5156 0.8151 0.4431
0.4710 0.4787 0.4260 0.4162 0.3754 0.0703
0.0690 0.0702 0.8430 0.8281 0.1061 1.3522
0.7920 0.8054 0.5930 0.5827 1.4422 1.1510
0.8690 0.8833 0.7390 0.7258 0.8846 0.9023
0.6380 0.6457 0.7690 0.7500 0.1538 0.1138
0.2270 0.2310 0.5740 0.5641 0.9657 2.7265
0.7480 0.7611 0.1290 0.1268 2.8559 0.4248
0.6670 0.6789 0.3730 0.3669 4.5389 2.0731
0.1740 0.1770 0.9940 0.9762 0.3840 1.1689
0.1520 0.1547 0.0610 0.0600 0.6715 0.3323
0.9140 0.9286 0.4760 0.4647 0.8116 0.0790
0.2030 0.2066 0.4460 0.4386 0.6829 0.8916
0.6680 0.6797 0.0230 0.0226 2.8604 0.0488
0.0300 0.0305 0.6950 0.6785 0.0266 0.1154
0.5480 0.5571 0.4930 0.4835 0.7162 0.2642
0.3220 0.3276 0.3700 0.3641 1.0046 0.5909
0.9060 0.9205 0.3510 0.3442 0.8888 0.1832
0.8970 0.9120 0.0190 0.0187 1.3401 0.0210
0.7240 0.7369 0.9270 0.9118 2.3081 2.2610
0.0750 0.0763 0.7330 0.7202 0.2140 1.8757
0.3280 0.3337 0.8730 0.8576 0.5553 1.1646
0.1350 0.1374 0.5570 0.5476 1.0106 3.9597
0.4160 0.4233 0.9020 0.8866 2.7964 5.4391
0.4650 0.4732 0.5200 0.5111 3.3275 3.2776
0.9140 0.9300 0.3340 0.3283 5.8907 1.8166
0.9290 0.9453 0.4040 0.3971 6.7557 2.3590
0.1510 0.1536 0.9520 0.9357 0.5108 3.9137
0.6490 0.6604 0.4170 0.4099 3.6727 1.5863
0.1120 0.1140 0.2140 0.2103 0.6166 0.5983
0.1970 0.2004 0.2020 0.1985 1.0532 0.6486
0.8820 0.8971 0.9780 0.9606 1.6635 1.2460
0.1920 0.1954 0.8730 0.8581 0.6666 3.2048
0.0160 0.0163 0.7770 0.7636 0.0862 3.3294
0.5970 0.6075 0.6740 0.6626 3.6411 3.1132
0.6620 0.6723 0.0730 0.0717 0.4078 0.0520
0.1160 0.1184 0.0070 0.0070 0.1284 0.0084
0.8680 0.8831 0.9130 0.8967 2.0355 1.0810
0.5100 0.5191 0.7680 0.7547 1.2648 1.5744
0.8690 0.8811 0.7820 0.7679 0.2963 0.6858
0.1720 0.1750 0.5700 0.5603 0.7171 2.9201
0.5900 0.6004 0.4220 0.4147 1.4962 0.9605
0.9390 0.9550 0.6150 0.6044 1.7926 1.4895
0.4190 0.4260 0.1480 0.1454 0.5665 0.2580
0.4200 0.4256 0.7520 0.7379 0.1079 0.4662
0.0310 0.0316 0.8050 0.7913 0.1428 3.6869
0.2550 0.2595 0.3790 0.3726 1.4339 2.9024
0.0870 0.0879 0.4420 0.4337 0.0129 0.2683
0.1340 0.1363 0.3020 0.2968 0.3783 1.0008
0.4860 0.4941 0.8500 0.8342 0.4632 0.5423
0.8530 0.8681 0.8570 0.8423 3.7950 3.2643
0.5330 0.5416 0.9560 0.9370 0.3928 0.3327
0.9070 0.9222 0.6500 0.6386 1.2934 1.0394
0.1680 0.1709 0.4880 0.4796 0.2167 0.9218
0.8370 0.8468 0.0100 0.0098 0.1624 0.0020
0.9180 0.9320 0.0440 0.0432 0.4287 0.0196
0.7690 0.7788 0.2700 0.2646 0.2245 0.0983
0.7780 0.7909 0.0180 0.0184 0.7360 0.0268
0.1860 0.1893 0.2450 0.2407 0.7221 0.5405
0.9910 1.0076 0.4170 0.4098 1.2378 0.9337
0.0980 0.0997 0.2560 0.2516 0.1920 0.5786
0.3040 0.3092 0.2260 0.2220 0.5168 0.4262
0.0860 0.0875 0.8000 0.7859 0.2318 1.5440
0.8560 0.8695 0.7830 0.7689 0.6043 1.0563
0.1260 0.1281 0.9560 0.9384 0.0932 0.7046
0.9640 0.9796 0.9620 0.9451 0.8743 1.5026
0.2500 0.2543 0.7080 0.6954 0.3577 1.1533
0.9190 0.9348 0.5830 0.5729 2.1284 1.5450
