i j Omegaij  Pij
182 14 0.009573 0.009067
182 53 0.006894 0.006823
182 75 0.001896 0.001695
182 77 0.006001 0.005834
182 86 0.004105 0.003432
182 104 0.009776 0.009762
182 123 0.007943 0.007450
182 146 0.006032 0.005768
182 149 0.008695 0.008352
182 157 0.006941 0.006956
182 160 0.003337 0.002816
182 566 0.008836 0.008780
182 186 0.005718 0.005007
182 763 0.002005 0.001137
182 699 0.008147 0.007844
182 624 0.002178 0.001705
182 383 0.010152 0.009189
182 358 0.010983 0.010614
182 188 0.002272 0.001277
182 392 0.001018 0.000055
182 380 0.009479 0.008121
182 714 0.011891 0.010249
182 340 0.010309 0.009135
182 723 0.009228 0.008760
182 725 0.003306 0.002256
182 366 0.000862 0.000364
182 190 0.001896 0.001111
182 550 0.001802 0.001660
182 764 0.009275 0.009816
182 565 0.006580 0.006235
182 601 0.001708 0.001013
182 603 0.000971 0.000165
182 765 0.000877 0.000682
182 189 0.010842 0.010299
182 184 0.009526 0.008793
183 14 0.084379 0.081585
183 79 0.006346 0.006442
183 134 0.063275 0.062393
183 184 0.081149 0.079124
183 268 0.041757 0.040202
183 571 0.079835 0.078392
183 188 0.011641 0.011489
183 190 0.010740 0.010000
183 578 0.011754 0.012467
183 205 0.026361 0.025150
184 14 0.536170 0.534918
184 48 0.133467 0.135698
184 53 0.404332 0.402549
184 61 0.553335 0.552462
184 75 0.100061 0.099990
184 116 0.493226 0.492124
184 144 0.334701 0.334365
184 145 0.198556 0.196103
184 148 0.166920 0.166203
184 151 0.591502 0.590272
184 160 0.165009 0.166159
184 182 0.267012 0.268167
184 183 0.076334 0.076616
184 370 0.348452 0.351227
184 558 0.333276 0.335567
184 299 0.564142 0.562783
184 741 0.546178 0.545097
184 415 0.314592 0.314207
184 572 0.131525 0.131799
184 328 0.580821 0.578519
184 353 0.092152 0.092217
184 363 0.589811 0.588778
184 388 0.564079 0.561616
184 735 0.038934 0.038944
184 766 0.054079 0.055825
184 568 0.633976 0.633572
184 330 0.611329 0.612271
184 577 0.090210 0.090942
184 266 0.453149 0.451906
184 189 0.606036 0.607597
185 14 0.532086 0.530862
185 18 0.239536 0.239724
185 26 0.555840 0.557374
185 73 0.285511 0.282892
185 75 0.098106 0.099231
185 579 0.368687 0.368166
185 602 0.344744 0.347959
185 548 0.052115 0.051592
185 710 0.243355 0.244781
185 767 0.466509 0.462996
185 428 0.095486 0.096004
185 638 0.618182 0.619410
185 637 0.573627 0.573934
185 413 0.265341 0.266734
186 14 0.323914 0.326313
186 53 0.244055 0.245565
186 75 0.060373 0.060996
186 182 0.163634 0.163588
186 465 0.022882 0.022615
186 566 0.317808 0.315981
186 765 0.025300 0.024558
186 395 0.154382 0.154467
186 588 0.041388 0.041546
187 14 0.373045 0.372529
187 768 0.010338 0.009041
187 659 0.396461 0.397424
187 454 0.022324 0.021247
187 587 0.121908 0.120257
187 769 0.026645 0.025303
187 653 0.323017 0.321432
187 466 0.328822 0.326429
187 770 0.335638 0.334604
187 561 0.405218 0.403679
187 771 0.252377 0.253126
187 662 0.241989 0.240982
187 577 0.064444 0.063334
188 14 0.465060 0.464709
188 53 0.354766 0.349713
188 75 0.085183 0.086866
188 92 0.212978 0.210575
188 98 0.322934 0.317424
188 182 0.233946 0.232969
188 183 0.066498 0.066560
188 453 0.184908 0.183427
188 190 0.056774 0.056961
188 772 0.015768 0.015786
188 463 0.027817 0.026049
188 622 0.313126 0.310695
188 601 0.054196 0.051907
188 621 0.290679 0.290582
188 577 0.079687 0.079006
188 773 0.014331 0.014659
189 14 0.510813 0.513444
189 75 0.094940 0.095975
189 160 0.158677 0.159489
189 182 0.257496 0.257401
189 184 0.497546 0.497954
189 566 0.497499 0.497186
189 565 0.356632 0.353096
189 572 0.127933 0.126508
190 14 0.028409 0.028012
190 40 0.008650 0.008365
190 44 0.021243 0.020199
190 49 0.009710 0.009621
190 53 0.022218 0.021080
190 92 0.013399 0.012693
190 182 0.014713 0.014043
190 183 0.005258 0.004012
190 188 0.003901 0.003945
190 453 0.012890 0.011057
190 463 0.002374 0.001570
190 315 0.025695 0.025061
190 621 0.017893 0.017516
191 15 0.085746 0.083354
191 57 0.115623 0.113015
191 697 0.048399 0.048260
191 774 0.032260 0.032126
191 775 0.009632 0.009396
191 247 0.019501 0.019723
191 502 0.053621 0.051475
191 445 0.056848 0.057800
191 205 0.032226 0.031504
191 287 0.091559 0.091841
191 223 0.008331 0.007815
191 322 0.035065 0.034854
192 15 0.631779 0.630534
192 84 0.364212 0.364989
192 87 0.737502 0.736452
192 362 0.196447 0.196094
192 327 0.782761 0.781459
192 360 0.187110 0.185786
192 591 0.102077 0.101336
192 221 0.639977 0.636176
192 214 0.593348 0.593920
192 593 0.052189 0.050669
192 400 0.791114 0.790921
192 195 0.843562 0.841709
192 774 0.241653 0.243023
192 517 0.654667 0.658617
192 599 0.029379 0.029085
192 600 0.702278 0.699933
192 598 0.236015 0.236451
192 211 0.689891 0.691504
192 445 0.433031 0.437234
192 218 0.491246 0.488014
192 203 0.110508 0.108871
193 15 0.481232 0.480644
193 29 0.569242 0.567972
193 40 0.176815 0.175969
193 55 0.133026 0.130185
193 73 0.316370 0.314032
193 79 0.048177 0.046531
193 115 0.640670 0.639485
193 127 0.331951 0.329004
193 129 0.128155 0.128732
193 704 0.103194 0.102987
193 195 0.641360 0.641618
193 209 0.662556 0.658727
193 292 0.207131 0.202388
193 262 0.024477 0.025035
193 648 0.103574 0.100842
193 324 0.259989 0.257465
193 438 0.002902 0.002885
193 360 0.142095 0.141621
193 389 0.016894 0.015734
193 316 0.545508 0.544900
193 203 0.080859 0.082990
193 399 0.644176 0.644343
193 776 0.714964 0.713376
194 15 0.269311 0.272165
194 693 0.065154 0.070120
194 777 0.036774 0.039258
194 254 0.240032 0.239794
194 674 0.291196 0.294034
194 488 0.357450 0.347881
194 670 0.013291 0.012173
195 15 0.622762 0.621877
195 22 0.468716 0.465530
195 29 0.735697 0.734865
195 55 0.165025 0.168438
195 73 0.410941 0.406308
195 76 0.662699 0.660574
195 100 0.455545 0.451777
195 104 0.819831 0.820914
195 106 0.442530 0.440541
195 127 0.428889 0.425679
195 134 0.582591 0.583096
195 161 0.351177 0.349741
195 175 0.514526 0.514449
195 192 0.077587 0.076809
195 193 0.239542 0.238753
195 268 0.375828 0.375716
195 332 0.395327 0.395174
195 236 0.857402 0.856123
195 677 0.162018 0.160037
195 598 0.232369 0.233204
195 219 0.560508 0.562449
195 778 0.435639 0.436305
195 273 0.738250 0.737538
195 200 0.312932 0.310946
195 389 0.021394 0.020358
195 196 0.827959 0.827221
195 203 0.107767 0.107377
195 779 0.525787 0.525584
195 262 0.032576 0.032391
195 316 0.705533 0.705014
195 472 0.824905 0.823138
195 288 0.643467 0.644061
195 471 0.137696 0.137870
195 211 0.681383 0.682010
195 326 0.606991 0.606127
195 206 0.020955 0.020357
195 690 0.568871 0.572815
195 776 0.922413 0.922996
195 438 0.003555 0.003732
195 213 0.636497 0.636679
195 780 0.732862 0.730744
195 445 0.432977 0.431231
195 360 0.183004 0.183235
195 209 0.855398 0.852289
195 363 0.839564 0.839227
195 694 0.662449 0.661611
195 217 0.812407 0.812508
196 15 0.666322 0.662877
196 77 0.527912 0.522897
196 161 0.371647 0.372799
196 175 0.545925 0.548366
196 180 0.740896 0.740668
196 195 0.887488 0.884884
196 203 0.115004 0.114456
196 326 0.645205 0.646089
196 781 0.874351 0.874049
196 219 0.601389 0.599531
196 389 0.021806 0.021700
196 288 0.686984 0.686524
196 779 0.559799 0.560235
196 211 0.725752 0.726975
197 15 0.316501 0.318644
197 84 0.184697 0.184449
197 87 0.373827 0.372170
197 104 0.420691 0.420628
197 115 0.425170 0.423948
197 161 0.180703 0.179204
197 175 0.265612 0.263598
197 774 0.121685 0.122813
197 511 0.406030 0.406369
197 221 0.323440 0.321495
197 204 0.321388 0.318149
197 214 0.301903 0.300141
197 628 0.097486 0.095766
197 326 0.310596 0.310573
197 206 0.010275 0.010431
197 400 0.402710 0.399696
197 583 0.233315 0.234707
197 646 0.339729 0.339903
197 440 0.443856 0.443267
197 211 0.351085 0.349455
197 593 0.025766 0.025606
197 203 0.055243 0.055019
197 694 0.339322 0.339003
197 205 0.119618 0.120433
197 782 0.234427 0.233770
197 779 0.269778 0.269304
197 697 0.184274 0.184486
197 218 0.246378 0.246620
197 641 0.200799 0.199593
198 15 0.228148 0.226557
198 126 0.210481 0.206986
198 783 0.287966 0.284829
198 784 0.062490 0.061852
198 288 0.235543 0.234639
198 686 0.269698 0.269748
198 724 0.048260 0.048886
198 285 0.160667 0.157655
198 362 0.070112 0.070458
198 785 0.019553 0.019553
198 214 0.212759 0.213401
198 220 0.180406 0.183724
198 779 0.190638 0.191476
198 215 0.135191 0.133165
198 648 0.049027 0.047533
198 217 0.300953 0.296006
199 15 0.409021 0.406052
199 29 0.479233 0.479827
199 104 0.540016 0.536012
199 106 0.289381 0.287649
199 128 0.575035 0.573912
199 218 0.315897 0.314271
199 640 0.471370 0.471870
199 644 0.173391 0.174553
199 595 0.381754 0.379938
199 645 0.056179 0.054961
199 641 0.255176 0.254344
199 786 0.281457 0.282617
199 642 0.279076 0.279091
199 270 0.194283 0.193959
199 646 0.435505 0.433143
199 544 0.047455 0.046532
199 469 0.585670 0.581764
199 332 0.260000 0.258027
199 691 0.127878 0.125654
199 787 0.268207 0.267664
199 616 0.044417 0.044110
199 283 0.250775 0.250762
199 258 0.388677 0.390349
199 204 0.406280 0.405421
200 15 0.349298 0.347538
200 29 0.412314 0.410682
200 48 0.108048 0.108093
200 54 0.502330 0.502138
200 55 0.095486 0.094132
200 78 0.093021 0.091559
200 81 0.498847 0.498071
200 91 0.088314 0.087086
200 103 0.372672 0.369278
200 104 0.457393 0.458770
200 115 0.464406 0.462391
200 127 0.240758 0.237892
200 195 0.462402 0.463933
200 257 0.030244 0.031021
200 334 0.371575 0.370290
200 232 0.438598 0.436526
200 649 0.187743 0.187188
200 201 0.336752 0.337733
200 205 0.133553 0.131354
200 360 0.103007 0.102401
200 437 0.255371 0.253383
200 290 0.271208 0.270983
200 273 0.412266 0.412176
200 292 0.147403 0.146340
200 217 0.455215 0.454073
200 324 0.186980 0.186164
200 473 0.508197 0.509601
200 335 0.516068 0.515065
201 15 0.204040 0.203685
201 30 0.234274 0.234896
201 48 0.063375 0.063351
201 55 0.054186 0.055169
201 104 0.267854 0.268876
201 200 0.102405 0.101845
201 257 0.019083 0.018181
201 334 0.216196 0.217020
201 250 0.229955 0.227617
201 398 0.120718 0.119710
201 347 0.010209 0.010607
201 585 0.231918 0.231238
201 213 0.206945 0.208533
201 320 0.058757 0.058839
201 473 0.299282 0.298667
202 15 0.448892 0.449727
202 22 0.337386 0.336660
202 39 0.656645 0.655203
202 61 0.570567 0.569475
202 104 0.594241 0.593665
202 290 0.351017 0.350661
202 502 0.276470 0.277728
202 370 0.362627 0.362043
202 415 0.323849 0.323882
202 572 0.133018 0.135858
202 331 0.511719 0.512655
202 262 0.023768 0.023425
202 788 0.355592 0.356860
202 205 0.168912 0.169977
202 322 0.189421 0.188052
203 15 0.201279 0.202355
203 80 0.107945 0.108696
203 87 0.239228 0.236346
203 104 0.266028 0.267120
203 115 0.269314 0.269228
203 192 0.025158 0.024993
203 193 0.076498 0.077689
203 195 0.269032 0.270126
203 196 0.270710 0.269172
203 197 0.142130 0.143034
203 232 0.254244 0.254168
203 271 0.044167 0.044796
203 334 0.216172 0.215602
203 377 0.122078 0.121668
203 389 0.007067 0.006624
203 216 0.045616 0.045164
203 789 0.112185 0.111961
203 292 0.085932 0.085207
203 204 0.203187 0.202040
203 360 0.061569 0.059623
203 250 0.224776 0.226130
203 210 0.049361 0.049980
203 209 0.278766 0.277329
203 437 0.146123 0.147533
203 208 0.033390 0.033112
203 273 0.243609 0.239990
203 206 0.006678 0.006624
203 593 0.017243 0.016261
203 790 0.051852 0.051323
203 215 0.123068 0.118939
203 262 0.010989 0.010540
203 212 0.027419 0.026805
203 290 0.157076 0.157780
203 217 0.267088 0.264385
203 445 0.138244 0.140320
203 502 0.122661 0.124964
203 213 0.206632 0.207171
203 327 0.247637 0.250790
203 471 0.046270 0.044862
204 15 0.638637 0.637262
204 84 0.367706 0.368883
204 104 0.840720 0.841222
204 115 0.844980 0.847861
204 117 0.865482 0.864912
204 129 0.171934 0.170679
204 197 0.448034 0.450448
204 199 0.743978 0.743504
204 203 0.114863 0.110033
204 400 0.800924 0.799359
204 445 0.438215 0.441899
204 216 0.142036 0.142232
204 211 0.698747 0.698882
204 218 0.492890 0.493220
204 207 0.531229 0.533831
204 593 0.051668 0.051209
204 647 0.148081 0.148865
204 791 0.181973 0.183925
204 221 0.646265 0.642963
204 210 0.158481 0.157399
204 335 0.944056 0.944447
204 782 0.467408 0.467520
204 389 0.021143 0.020861
204 215 0.374049 0.374567
204 206 0.019358 0.020861
204 288 0.661676 0.659994
204 290 0.499295 0.496886
204 209 0.872921 0.873373
204 697 0.365576 0.368958
204 273 0.758434 0.755784
204 214 0.602381 0.600257
205 15 0.631611 0.630514
205 20 0.156678 0.157688
205 48 0.196070 0.196106
205 57 0.851710 0.854879
205 73 0.413833 0.411950
205 104 0.833231 0.832315
205 106 0.446655 0.446659
205 115 0.842527 0.838883
205 127 0.430333 0.431590
205 147 0.282221 0.280525
205 183 0.110033 0.110723
205 191 0.460916 0.454184
205 197 0.444075 0.445678
205 200 0.313826 0.315264
205 202 0.833085 0.834139
205 694 0.669641 0.670799
205 213 0.645224 0.645521
205 262 0.033422 0.032841
205 209 0.864316 0.864125
205 321 0.436093 0.438281
205 214 0.593825 0.593901
205 221 0.637793 0.636155
205 445 0.435298 0.437220
205 438 0.003683 0.003784
205 326 0.613959 0.614545
205 399 0.843565 0.845256
205 212 0.083231 0.083522
205 360 0.186174 0.185780
206 15 0.218472 0.226539
206 55 0.062948 0.061359
206 127 0.158780 0.155068
206 195 0.305622 0.302411
206 197 0.166269 0.160129
206 203 0.039722 0.039115
206 204 0.233124 0.226187
206 212 0.033536 0.030009
206 389 0.007163 0.007416
206 472 0.302149 0.299855
206 211 0.248860 0.248445
206 363 0.304971 0.305716
206 628 0.066421 0.068085
206 215 0.134361 0.133154
206 697 0.135989 0.131160
206 326 0.223139 0.220802
207 15 0.081846 0.082683
207 126 0.076330 0.075541
207 204 0.083765 0.082555
207 467 0.107157 0.108152
207 791 0.023583 0.023864
207 218 0.064035 0.063994
207 211 0.091919 0.090679
207 445 0.057192 0.057336
207 273 0.099130 0.098062
207 647 0.019410 0.019315
207 342 0.088482 0.087198
207 595 0.078952 0.077366
208 15 0.164656 0.161975
208 203 0.028311 0.027967
208 403 0.094324 0.096656
208 214 0.151015 0.152570
208 595 0.146833 0.151558
208 217 0.215314 0.211627
209 15 0.401560 0.399313
209 20 0.100782 0.099866
209 40 0.147562 0.146193
209 55 0.110163 0.108156
209 104 0.527071 0.527117
209 115 0.536750 0.531277
209 193 0.152762 0.153306
209 195 0.536342 0.533049
209 203 0.070790 0.068947
209 204 0.396078 0.398693
209 205 0.151243 0.150923
209 403 0.239605 0.238283
209 671 0.472867 0.472034
209 675 0.389845 0.390731
209 424 0.457064 0.456940
209 232 0.503265 0.501558
209 273 0.475059 0.473580
209 438 0.002678 0.002397
209 445 0.280137 0.276897
209 321 0.278852 0.277569
209 360 0.118463 0.117657
209 399 0.537016 0.535313
209 213 0.405162 0.408817
209 697 0.233575 0.231192
209 641 0.250677 0.250123
210 15 0.235591 0.235945
210 29 0.278524 0.278813
210 203 0.041569 0.040739
210 204 0.235359 0.235578
210 577 0.050494 0.049181
210 211 0.261693 0.258759
210 218 0.183271 0.182614
210 400 0.293575 0.295961
210 288 0.247382 0.244361
210 697 0.139667 0.136606
210 791 0.070839 0.068098
210 679 0.199200 0.199361
210 780 0.279634 0.277250
210 214 0.221788 0.222244
211 15 0.361116 0.358309
211 55 0.097319 0.097050
211 84 0.209124 0.207410
211 192 0.045746 0.044255
211 195 0.480878 0.478312
211 196 0.474300 0.476623
211 197 0.256985 0.253270
211 204 0.357029 0.357752
211 206 0.011903 0.011729
211 207 0.303201 0.300154
211 210 0.089159 0.088500
211 792 0.274760 0.275144
211 221 0.360067 0.361515
211 400 0.446940 0.449451
211 559 0.256045 0.255407
211 218 0.277407 0.277320
211 214 0.338486 0.337503
211 212 0.049098 0.047464
211 697 0.207652 0.207452
211 440 0.497385 0.498446
211 793 0.318283 0.318723
211 327 0.445186 0.444074
211 791 0.104476 0.103414
211 215 0.208513 0.210606
211 471 0.079794 0.079437
211 794 0.176486 0.174818
211 326 0.350107 0.349234
212 15 0.123272 0.124387
212 48 0.038083 0.038687
212 55 0.034182 0.033691
212 104 0.159975 0.164197
212 115 0.168414 0.165493
212 132 0.016295 0.016659
212 135 0.144237 0.142429
212 203 0.021151 0.021477
212 205 0.048911 0.047013
212 206 0.005148 0.004072
212 211 0.134259 0.136414
212 365 0.054643 0.054694
212 676 0.139142 0.137703
212 285 0.087763 0.086557
212 792 0.094318 0.095516
212 471 0.027414 0.027576
212 436 0.082694 0.083635
212 283 0.077625 0.076816
212 363 0.171174 0.167860
212 795 0.119344 0.117614
212 796 0.117433 0.115845
212 306 0.064781 0.063163
212 473 0.179640 0.182390
213 15 0.131255 0.132424
213 20 0.033397 0.033118
213 55 0.034994 0.035868
213 104 0.174454 0.174807
213 115 0.177945 0.176186
213 136 0.164793 0.163545
213 195 0.176301 0.176774
213 201 0.129047 0.128687
213 203 0.022515 0.022865
213 205 0.051215 0.050050
213 209 0.183441 0.181488
213 687 0.131944 0.129410
213 691 0.041445 0.040979
213 242 0.145660 0.147236
213 428 0.030015 0.029362
213 292 0.055677 0.055760
213 360 0.039566 0.039018
213 437 0.097200 0.096548
213 262 0.006936 0.006897
213 502 0.081528 0.081778
213 649 0.071084 0.071325
213 273 0.156557 0.157053
214 15 0.149371 0.151919
214 84 0.087800 0.087940
214 115 0.201876 0.202125
214 192 0.019182 0.018764
214 197 0.107139 0.107384
214 198 0.056482 0.056314
214 204 0.149684 0.151683
214 205 0.058392 0.057419
214 208 0.024804 0.024859
214 210 0.038036 0.037523
214 211 0.166847 0.166609
214 591 0.024757 0.024416
214 288 0.159722 0.157339
214 218 0.116472 0.117581
214 215 0.090744 0.089295
214 362 0.049216 0.047246
214 220 0.124630 0.123197
214 779 0.131316 0.128396
214 641 0.094439 0.095160
214 785 0.013858 0.013111
214 221 0.153865 0.153279
214 400 0.193091 0.190563
214 697 0.088771 0.087957
214 217 0.201187 0.198489
214 517 0.157279 0.158685
214 593 0.012731 0.012208
215 15 0.546443 0.547851
215 104 0.725830 0.723195
215 198 0.204148 0.203079
215 203 0.093930 0.094595
215 204 0.547584 0.547000
215 206 0.018040 0.017934
215 211 0.600547 0.600825
215 214 0.513353 0.516038
215 779 0.464089 0.463020
215 598 0.205611 0.205444
215 218 0.425999 0.424019
215 288 0.566187 0.567394
215 389 0.017895 0.017935
215 438 0.003923 0.003288
215 220 0.446724 0.444273
215 641 0.344063 0.343165
215 785 0.047769 0.047281
215 217 0.714398 0.715789
215 695 0.676469 0.677380
215 797 0.572458 0.572928
216 15 0.524446 0.526291
216 104 0.694213 0.694735
216 106 0.374453 0.372827
216 127 0.361966 0.360249
216 203 0.091184 0.090872
216 204 0.529076 0.525474
216 544 0.061494 0.060311
216 774 0.202057 0.202845
216 242 0.590942 0.585159
216 500 0.008315 0.007832
216 220 0.428747 0.426790
216 292 0.223403 0.221609
216 793 0.470124 0.468147
217 15 0.356597 0.357610
217 29 0.424915 0.422584
217 103 0.379448 0.379980
217 104 0.470492 0.472066
217 153 0.363300 0.359002
217 195 0.477102 0.477378
217 198 0.133708 0.132560
217 200 0.177923 0.178809
217 203 0.060973 0.061747
217 208 0.057700 0.058518
217 214 0.336894 0.336844
217 215 0.209858 0.210195
217 798 0.013877 0.012757
217 577 0.075633 0.074541
217 362 0.112580 0.111216
217 779 0.306588 0.302236
217 598 0.135776 0.134104
217 273 0.421031 0.424121
217 628 0.108179 0.107477
217 334 0.382032 0.381021
217 531 0.176278 0.176163
217 438 0.002835 0.002146
217 639 0.095633 0.095753
218 15 0.614405 0.613845
218 68 0.878930 0.878774
218 84 0.360250 0.355328
218 87 0.716020 0.716958
218 126 0.562337 0.560819
218 192 0.074281 0.075817
218 197 0.431601 0.433895
218 199 0.716600 0.716183
218 204 0.614797 0.612891
218 207 0.512101 0.514215
218 210 0.150065 0.151616
218 211 0.673303 0.673200
218 214 0.579552 0.578199
218 215 0.356444 0.360803
218 400 0.766851 0.769986
218 724 0.133100 0.132455
218 697 0.356647 0.355400
218 694 0.653958 0.653065
218 471 0.135967 0.136089
218 591 0.098294 0.098654
218 649 0.332994 0.330624
218 791 0.176554 0.177166
218 799 0.873118 0.872226
218 221 0.618603 0.619337
218 594 0.021319 0.020090
218 695 0.760429 0.758976
218 691 0.187863 0.189956
218 800 0.874058 0.873416
218 288 0.635098 0.635742
218 789 0.340215 0.339635
219 15 0.051055 0.051078
219 175 0.042373 0.042254
219 195 0.069784 0.068185
219 196 0.067518 0.067944
219 389 0.002166 0.001672
219 801 0.041007 0.040290
220 15 0.066805 0.065200
220 198 0.025104 0.024169
220 214 0.063499 0.061414
220 215 0.037498 0.038323
220 216 0.014355 0.014552
220 554 0.040306 0.039187
220 598 0.024556 0.024450
220 785 0.006280 0.005627
220 362 0.020302 0.020277
220 779 0.056355 0.055104
220 288 0.067370 0.067526
220 646 0.069463 0.069550
221 15 0.194524 0.195742
221 84 0.116042 0.113306
221 192 0.025621 0.024176
221 197 0.137893 0.138360
221 204 0.194744 0.195438
221 205 0.074790 0.073982
221 211 0.218056 0.214669
221 214 0.185381 0.184375
221 218 0.152471 0.151498
221 591 0.031716 0.031459
221 741 0.246552 0.244557
221 802 0.271843 0.270404
221 803 0.056599 0.055415
221 593 0.015426 0.015729
222 16 0.742139 0.743320
222 20 0.156278 0.153315
222 548 0.076289 0.073046
222 677 0.154792 0.157761
222 494 0.860623 0.859429
222 804 0.648425 0.646161
223 16 0.048768 0.045636
223 114 0.042291 0.041062
223 191 0.028448 0.027112
223 494 0.053594 0.052765
223 805 0.016891 0.016851
223 354 0.026035 0.023529
223 673 0.001270 0.001733
223 674 0.044069 0.040662
224 16 0.331421 0.325902
224 114 0.296100 0.293236
224 805 0.122363 0.120341
225 17 0.278935 0.275029
225 527 0.159781 0.158255
226 17 0.259101 0.255872
226 22 0.231671 0.231476
226 24 0.057124 0.057989
226 38 0.420569 0.418716
226 44 0.273370 0.273371
226 104 0.409802 0.408184
226 133 0.325900 0.323491
226 134 0.288160 0.289933
226 806 0.308911 0.306038
226 531 0.151711 0.152324
226 323 0.092014 0.092484
226 409 0.417393 0.415066
226 577 0.066001 0.064454
226 517 0.320883 0.322988
226 377 0.186357 0.185920
226 367 0.083022 0.081445
227 17 0.285410 0.282532
227 19 0.243682 0.242822
227 49 0.144099 0.143783
227 51 0.239580 0.239317
227 80 0.186359 0.183403
227 807 0.230467 0.228662
227 398 0.199715 0.200667
227 240 0.199449 0.197149
227 403 0.202549 0.203745
227 339 0.371418 0.370935
227 270 0.162481 0.163093
227 313 0.010945 0.010669
228 18 0.203399 0.205181
228 145 0.163534 0.166573
228 453 0.185699 0.179346
229 18 0.154128 0.155201
229 22 0.206494 0.209844
229 26 0.361194 0.360853
229 42 0.245484 0.244833
229 136 0.345072 0.346199
229 137 0.142122 0.141722
229 297 0.390693 0.387821
229 442 0.111022 0.107623
229 774 0.103133 0.108042
229 808 0.144866 0.141831
229 238 0.287674 0.294900
229 612 0.107363 0.108777
229 239 0.029042 0.030876
229 232 0.355591 0.352097
230 18 0.050605 0.050611
230 37 0.053084 0.054948
230 56 0.043033 0.042170
230 93 0.025680 0.025036
230 127 0.061373 0.062573
230 181 0.067880 0.068165
230 239 0.010845 0.010069
230 242 0.100436 0.101638
230 253 0.131074 0.131389
230 809 0.091062 0.090539
230 345 0.019212 0.018362
230 333 0.017643 0.016461
231 18 0.383588 0.358102
231 26 0.854962 0.832610
232 18 0.173404 0.174949
232 19 0.225948 0.224726
232 27 0.417754 0.415178
232 37 0.189300 0.189940
232 69 0.148016 0.147677
232 70 0.327779 0.327720
232 73 0.204304 0.206454
232 75 0.073343 0.072419
232 81 0.455091 0.452857
232 85 0.441309 0.441854
232 90 0.408326 0.408573
232 93 0.088362 0.086542
232 119 0.067141 0.067262
232 136 0.390205 0.390250
232 200 0.158917 0.157998
232 203 0.056084 0.054560
232 209 0.428419 0.433066
232 229 0.016554 0.016927
232 237 0.030728 0.030578
232 443 0.246480 0.246352
232 281 0.349204 0.347912
232 691 0.096146 0.097784
232 242 0.354419 0.351333
232 253 0.454261 0.454175
232 810 0.417691 0.416532
232 305 0.282032 0.278367
232 811 0.299964 0.301279
232 238 0.330942 0.332424
232 812 0.154140 0.152692
232 304 0.419931 0.419878
232 813 0.149786 0.150301
232 533 0.050915 0.051167
232 814 0.161799 0.161811
232 632 0.017494 0.017864
232 659 0.415749 0.413310
232 589 0.366212 0.365371
232 438 0.002302 0.001897
232 815 0.106889 0.108217
232 377 0.191086 0.189992
232 584 0.048535 0.048900
232 710 0.179903 0.178640
232 239 0.036397 0.034805
232 606 0.269424 0.269833
232 234 0.084869 0.084639
232 254 0.278163 0.278406
233 18 0.348383 0.347792
233 81 0.899710 0.900260
233 130 0.189256 0.188866
233 132 0.081663 0.084130
233 181 0.467299 0.468415
233 816 0.085477 0.087873
233 375 0.034120 0.032822
234 18 0.349902 0.349030
234 26 0.813428 0.811518
234 40 0.230435 0.230799
234 232 0.791380 0.791826
234 540 0.076070 0.075024
234 661 0.436763 0.434382
234 304 0.840356 0.837669
234 567 0.291696 0.296437
234 414 0.152206 0.151983
234 451 0.494438 0.494458
234 457 0.430621 0.433518
234 455 0.041804 0.041274
234 817 0.228343 0.231687
234 256 0.008666 0.007646
235 18 0.314338 0.312735
235 104 0.745681 0.745638
236 18 0.019159 0.019359
236 37 0.020344 0.021018
236 81 0.050400 0.050111
236 93 0.010133 0.009576
236 144 0.026876 0.026797
236 154 0.051678 0.051923
236 166 0.017257 0.016435
236 167 0.043416 0.043232
236 181 0.027172 0.026073
236 195 0.046736 0.046676
236 818 0.050930 0.051282
236 339 0.038459 0.037987
236 315 0.037508 0.038354
236 704 0.007982 0.007492
236 304 0.046393 0.046462
236 584 0.006142 0.005411
236 630 0.049870 0.049981
236 632 0.002151 0.001977
236 819 0.012768 0.012418
236 701 0.009603 0.009051
236 268 0.022791 0.021125
236 706 0.038505 0.038706
236 623 0.013266 0.012897
236 443 0.027406 0.027260
236 820 0.017787 0.017736
236 463 0.003009 0.002403
236 821 0.017429 0.017477
236 531 0.018052 0.017225
236 502 0.021560 0.021593
236 354 0.022277 0.021859
237 18 0.277717 0.275418
237 24 0.098900 0.093290
237 26 0.639019 0.640365
237 40 0.187568 0.182122
237 66 0.733737 0.737306
237 136 0.610128 0.614359
237 232 0.623641 0.624826
237 708 0.003861 0.003701
237 563 0.563091 0.564134
237 452 0.510842 0.509700
237 822 0.176050 0.179759
237 427 0.504150 0.504492
237 823 0.648028 0.648416
237 512 0.311949 0.306463
237 459 0.473522 0.473109
237 486 0.027990 0.026755
237 446 0.144778 0.145092
238 18 0.255812 0.252335
238 20 0.114286 0.113983
238 69 0.213436 0.212999
238 82 0.022115 0.020341
238 136 0.562016 0.562869
238 142 0.098992 0.100378
238 145 0.205750 0.204853
238 146 0.356250 0.355462
238 164 0.575910 0.575715
238 229 0.025039 0.024415
238 232 0.574559 0.572459
238 589 0.528269 0.526985
238 503 0.607409 0.607678
238 242 0.506578 0.506738
238 433 0.178290 0.177716
238 305 0.402807 0.401497
238 811 0.434558 0.434544
238 824 0.553088 0.551304
238 812 0.220367 0.220232
238 329 0.506091 0.505955
